"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf"
1,"xotask","easy","easy",0.82,-1,1,6,0.218
1,"xotask","easy","average",1.236,1,0,5,0.202
1,"xotask","easy","hard",1.686,1,0,4,0.232
1,"xotask","easy","average",1.786,1,0,3,1.089
1,"xotask","easy","average",1.019,-1,1,5,0.422
1,"xotask","easy","easy",0.734,1,1,5,0.802
1,"xotask","easy","average",1.052,1,1,3,0.977
1,"xotask","easy","easy",0.736,1,1,6,0.231
1,"xotask","easy","hard",2.353,-1,1,6,0.585
1,"xotask","easy","easy",0.735,1,1,6,0.334
1,"xotask","easy","hard",1.769,1,0,5,0.627
1,"xotask","easy","hard",1.285,-1,1,3,0.288
1,"xotask","easy","easy",0.685,1,1,6,0.276
1,"xotask","easy","easy",0.718,1,1,6,0.727
1,"xotask","easy","hard",2.27,1,0,2,0.536
1,"xotask","easy","easy",0.652,1,1,6,0.291
1,"xotask","easy","hard",1.252,1,0,6,0.479
1,"xotask","easy","hard",1.003,1,1,5,0.654
1,"xotask","easy","average",0.652,-1,1,5,0.34
1,"xotask","easy","hard",0.819,1,0,4,0.256
1,"xotask","easy","hard",0.786,1,1,4,0.209
1,"xotask","easy","easy",0.718,-1,1,6,0.262
1,"xotask","easy","hard",1.103,-1,0,6,0.122
1,"xotask","easy","average",0.736,-1,0,6,0.242
1,"xotask","easy","average",0.618,-1,1,6,0.266
1,"xotask","easy","easy",0.617,-1,1,6,0.418
1,"xotask","easy","average",0.769,1,0,5,0.204
1,"xotask","easy","hard",2.27,1,0,4,0.242
1,"xotask","easy","hard",0.802,-1,1,5,0.243
1,"xotask","easy","easy",0.568,-1,1,5,0.238
1,"xotask","easy","easy",0.653,1,1,5,0.261
1,"xotask","easy","hard",1.034,-1,0,5,0.092
1,"xotask","easy","hard",0.902,1,1,5,0.222
1,"xotask","easy","average",0.701,-1,1,5,0.276
1,"xotask","easy","hard",1.77,1,1,5,0.348
1,"xotask","easy","average",1.235,1,1,5,0.246
